uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
R1jUicEV,3.99,61,1,1,1,1,111,3,Lost Cheap Customers
YcSHBLOo,25.979999999999997,35,2,2,3,2,223,7,Other
CvpiOGqT,8.99,60,1,1,2,1,112,4,Other
uDLYnOib,3.99,59,1,1,1,1,111,3,Lost Cheap Customers
IvoOjIdf,3.99,59,1,1,1,1,111,3,Lost Cheap Customers
SUEt8C1d,303.94,31,6,3,4,4,344,11,Other
BXnVWnmR,69.89,37,11,2,4,4,244,10,Almost Lost
N8M2Q2Qj,0.99,59,1,1,1,1,111,3,Lost Cheap Customers
BhBWrbIF,13.97,58,3,1,2,3,132,6,Other
ogvVvOXq,3.99,58,1,1,1,1,111,3,Lost Cheap Customers
wgyJhKwY,0.99,58,1,1,1,1,111,3,Lost Cheap Customers
PQKTs3iT,8.99,58,1,1,2,1,112,4,Other
7IJSeFl2,0.99,57,1,1,1,1,111,3,Lost Cheap Customers
LKHhkQsm,3.99,57,1,1,1,1,111,3,Lost Cheap Customers
umj2BlTw,58.91000000000001,23,9,4,4,4,444,12,Champions
WDOPxKDR,34.99,57,1,1,3,1,113,5,Other
cV5umDkb,200.95,25,5,4,4,4,444,12,Champions
LelEYBrW,25.96,49,4,1,3,3,133,7,Other
blMgV3wR,3.99,57,1,1,1,1,111,3,Lost Cheap Customers
qf1opMEQ,7.98,42,2,1,2,2,122,5,Other
4UQ1t1gW,45.919999999999995,44,8,1,4,4,144,9,Lost Customers
UTFvjOFx,0.99,57,1,1,1,1,111,3,Lost Cheap Customers
l78hID8G,21.97,39,3,2,3,3,233,8,Other
RC11bOjr,0.99,57,1,1,1,1,111,3,Lost Cheap Customers
22VQcl7f,34.99,57,1,1,3,1,113,5,Other
iV8VWDTI,19.94,41,6,1,3,4,143,8,Loyal Customers
hBStiMQE,16.99,56,1,1,2,1,112,4,Other
UMXvhyHq,30.96,40,4,2,3,3,233,8,Other
Y6JMdlLk,7.98,56,2,1,2,2,122,5,Other
TNRrgkKD,4.98,39,2,2,1,2,221,5,Other
6Qp5nkWt,16.99,56,1,1,2,1,112,4,Other
SYxF7KDc,13.97,48,3,1,2,3,132,6,Other
LOMTOI5S,0.99,56,1,1,1,1,111,3,Lost Cheap Customers
m6CorXIQ,3.99,56,1,1,1,1,111,3,Lost Cheap Customers
bg6rjmNf,33.98,52,2,1,3,2,123,6,Other
PP2dtem8,128.92999999999998,33,7,2,4,4,244,10,Almost Lost
Nc6nn1tm,16.99,56,1,1,2,1,112,4,Other
VX16brlS,39.95,37,5,2,4,4,244,10,Almost Lost
LBL6JCjW,77.96000000000001,32,4,3,4,3,334,10,Big Spenders
8tfc4Pio,50.97,48,3,1,4,3,134,8,Big Spenders
BCy4hPG1,13.97,52,3,1,2,3,132,6,Other
YLxKnf1l,17.98,56,2,1,3,2,123,6,Other
JDXxUOgB,17.98,51,2,1,3,2,123,6,Other
E23WEELi,429.92,25,8,4,4,4,444,12,Champions
jOYBipkS,8.99,56,1,1,2,1,112,4,Other
u8Fhi6pg,3.99,56,1,1,1,1,111,3,Lost Cheap Customers
vn7HmQjW,16.99,56,1,1,2,1,112,4,Other
LXFstIbv,25.96,25,4,4,3,3,433,10,Recent Customer
GvutD1x7,0.99,56,1,1,1,1,111,3,Lost Cheap Customers
Gegs6KKD,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
tQMoton1,3.96,48,4,1,1,3,131,5,Other
V25m83Tl,0.99,55,1,1,1,1,111,3,Lost Cheap Customers
x8HYJ2Nk,164.97,51,3,1,4,3,134,8,Big Spenders
Kw22gson,64.99,55,1,1,4,1,114,6,Big Spenders
