uid,register_date,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
11BeHGFi,2013-11-13,0.0,,,,,,,,
11eFgjF1,2013-11-12,0.0,,,,,,,,
11FoeMsb,2013-11-23,0.0,,,,,,,,
11lWnNc2,2013-11-06,0.0,,,,,,,,
11mdIjll,2013-11-10,0.0,,,,,,,,
11mj4ivx,2013-12-10,0.0,,,,,,,,
11oPX8PL,2013-11-26,0.0,,,,,,,,
11PRg3oT,2013-11-02,0.0,,,,,,,,
11PrTPJq,2013-12-09,0.0,,,,,,,,
11QCbXo1,2013-11-06,0.0,,,,,,,,
11r1QOFV,2013-11-20,0.0,,,,,,,,
11tJiUwU,2013-11-24,0.0,,,,,,,,
11VuQt4E,2013-12-02,0.0,,,,,,,,
11XxSgFH,2013-12-07,0.0,,,,,,,,
124NeJOH,2013-12-03,0.0,,,,,,,,
12jlBslT,2013-11-02,0.0,,,,,,,,
12KmQcec,2013-11-14,0.0,,,,,,,,
12mduwBw,2013-12-07,0.0,,,,,,,,
12rRqFVH,2013-12-07,0.0,,,,,,,,
12tBHsip,2013-11-18,3.99,24.0,1.0,4,1,1,411,6.0,Recent Customer
12WngDPW,2013-11-10,0.0,,,,,,,,
12XkWWDU,2013-12-07,0.0,,,,,,,,
138O4KBo,2013-11-01,0.0,,,,,,,,
13BchXXL,2013-11-22,0.0,,,,,,,,
13hFw5gX,2013-11-04,0.0,,,,,,,,
13iY7UTL,2013-11-17,0.0,,,,,,,,
13Q6oyF6,2013-11-13,0.0,,,,,,,,
13SgSiuO,2013-11-04,0.0,,,,,,,,
14BbiGjv,2013-11-09,0.0,,,,,,,,
14CxjOXe,2013-12-04,0.0,,,,,,,,
14f7QIDW,2013-11-23,0.0,,,,,,,,
14Gkv41e,2013-11-22,0.0,,,,,,,,
14jQ2Ybb,2013-11-02,0.0,,,,,,,,
14lcIVX1,2013-11-16,0.0,,,,,,,,
14O4fCfT,2013-11-21,0.0,,,,,,,,
14OHdBWc,2013-11-16,0.0,,,,,,,,
14VoxeH5,2013-11-04,0.0,,,,,,,,
14VREgkF,2013-11-21,0.0,,,,,,,,
14VSNdr4,2013-12-09,0.0,,,,,,,,
14wEqrj6,2013-12-05,0.0,,,,,,,,
14XyiuL6,2013-11-23,0.0,,,,,,,,
15evs2fC,2013-11-17,0.0,,,,,,,,
15GcCw4d,2013-11-03,0.0,,,,,,,,
15Hve41x,2013-11-25,0.0,,,,,,,,
15mkXML8,2013-11-11,0.0,,,,,,,,
15Vd8hNe,2013-11-04,0.0,,,,,,,,
16745YV1,2013-11-20,0.0,,,,,,,,
16CdIScT,2013-12-04,0.0,,,,,,,,
16COwlLo,2013-11-29,0.0,,,,,,,,
16GoLeyU,2013-12-06,0.0,,,,,,,,
16kt2F4N,2013-11-02,0.0,,,,,,,,
16m83f8j,2013-12-01,0.0,,,,,,,,
16p8U2Rt,2013-11-27,3.99,26.0,1.0,3,1,1,311,5.0,Other
16Rujw8m,2013-11-30,0.0,,,,,,,,
16VUvgOU,2013-11-29,0.0,,,,,,,,
16ydfrVu,2013-12-07,0.0,,,,,,,,
16yEdi88,2013-12-06,0.0,,,,,,,,
174bsS5l,2013-11-23,0.0,,,,,,,,
17fE6voW,2013-11-10,0.0,,,,,,,,
17FlE2fs,2013-12-10,0.0,,,,,,,,
17ib4yrs,2013-11-27,0.0,,,,,,,,
17ibMXiK,2013-11-22,0.0,,,,,,,,
17loCL5r,2013-11-28,0.0,,,,,,,,
17m1fQXD,2013-11-10,0.0,,,,,,,,
17MFiN8u,2013-11-25,0.0,,,,,,,,
17mfWsxX,2013-12-06,0.0,,,,,,,,
17R5Xmrs,2013-11-23,0.0,,,,,,,,
17SBfJ8w,2013-11-02,0.0,,,,,,,,
17VPFhe4,2013-11-18,0.0,,,,,,,,
17vrOnrL,2013-11-19,0.0,,,,,,,,
1811hQLG,2013-11-24,0.0,,,,,,,,
18e8WsmL,2013-11-04,0.0,,,,,,,,
18GvX2jP,2013-12-08,0.0,,,,,,,,
18nMXRcC,2013-12-05,0.0,,,,,,,,
18NuPm3t,2013-12-09,0.0,,,,,,,,
18onjCbN,2013-11-05,0.0,,,,,,,,
18QYmPQ4,2013-12-08,0.0,,,,,,,,
18rbDyLS,2013-11-05,0.0,,,,,,,,
18wKifVM,2013-11-22,0.0,,,,,,,,
1b2E45tN,2013-11-27,0.0,,,,,,,,
1b3Dpmqu,2013-11-18,0.0,,,,,,,,
1b3n7DmC,2013-11-22,0.0,,,,,,,,
1b5DBNmn,2013-11-27,0.0,,,,,,,,
1B8J6m2b,2013-11-15,33.959999999999994,42.0,4.0,1,3,3,133,7.0,Other
1bdo38Gr,2013-11-22,0.0,,,,,,,,
1bhIhrrF,2013-11-22,0.0,,,,,,,,
1birviro,2013-11-23,0.0,,,,,,,,
1BmxSeYd,2013-11-24,0.0,,,,,,,,
1bNbnONq,2013-11-17,0.0,,,,,,,,
1BNneC5w,2013-12-04,0.0,,,,,,,,
1BPILJ6T,2013-11-10,0.0,,,,,,,,
1bPQtNOn,2013-11-03,0.0,,,,,,,,
1bQnB7Xy,2013-11-21,0.0,,,,,,,,
1bS7IMlS,2013-12-07,0.0,,,,,,,,
1bWCgkVC,2013-11-12,0.0,,,,,,,,
1BWoLQCn,2013-11-23,0.0,,,,,,,,
1bWSuGEm,2013-11-23,0.0,,,,,,,,
1C1gNvDh,2013-11-23,0.0,,,,,,,,
1c6rTrwP,2013-11-09,0.0,,,,,,,,
1c7OpCnW,2013-11-03,0.0,,,,,,,,
1Cdt3PEm,2013-12-06,0.0,,,,,,,,
1CE5FTUB,2013-11-16,0.0,,,,,,,,
1cEMVUBT,2013-11-23,0.0,,,,,,,,
1ceSXgUU,2013-11-25,0.0,,,,,,,,
1cFfg5NB,2013-11-02,0.0,,,,,,,,
1cIOJgkw,2013-12-10,0.0,,,,,,,,
1CiWEbGV,2013-11-27,0.0,,,,,,,,
1cK5bdT6,2013-11-27,0.0,,,,,,,,
1CkFoDwc,2013-11-22,0.0,,,,,,,,
1coG12lX,2013-11-20,0.0,,,,,,,,
1CPoS13B,2013-12-06,0.0,,,,,,,,
1CpVeIgi,2013-12-08,0.0,,,,,,,,
1cQCq7C5,2013-11-12,0.0,,,,,,,,
1CqmRKBC,2013-11-16,0.0,,,,,,,,
1CR8fRDI,2013-11-22,0.0,,,,,,,,
1csJxUU2,2013-12-07,0.0,,,,,,,,
1CsPXHEW,2013-11-15,0.0,,,,,,,,
1CwqnJkP,2013-11-30,0.0,,,,,,,,
1d61LXBY,2013-11-24,0.0,,,,,,,,
1dDiM3EH,2013-12-02,0.0,,,,,,,,
1DdR2n7x,2013-11-17,0.0,,,,,,,,
1DFj5QiW,2013-11-24,0.0,,,,,,,,
1dgUwcO2,2013-11-11,3.99,49.0,1.0,1,1,1,111,3.0,Lost Cheap Customers
1Dhv2Hws,2013-11-22,0.0,,,,,,,,
1DjpDvM3,2013-11-29,0.0,,,,,,,,
1DjuuCMp,2013-11-25,0.0,,,,,,,,
1dn37Y4Y,2013-11-02,0.0,,,,,,,,
1dObbwtq,2013-11-25,0.0,,,,,,,,
1DRhed2m,2013-11-22,0.0,,,,,,,,
1dRRx2dj,2013-11-10,0.0,,,,,,,,
1DSkYVwk,2013-12-01,0.0,,,,,,,,
1DSmm7w8,2013-11-23,0.0,,,,,,,,
1DtdyH5K,2013-11-22,0.0,,,,,,,,
1duk1bb2,2013-11-25,0.0,,,,,,,,
1DuOWukS,2013-12-09,0.0,,,,,,,,
1DWDhk6m,2013-11-22,0.0,,,,,,,,
1eE5m8ew,2013-12-01,0.0,,,,,,,,
1EgfumWm,2013-11-09,0.0,,,,,,,,
1ehrcuJj,2013-11-16,0.0,,,,,,,,
1ej6O1Ep,2013-12-03,12.98,24.0,2.0,4,2,2,422,8.0,Recent Customer
1EnlcH4U,2013-12-03,0.0,,,,,,,,
1EU6k3so,2013-12-04,0.0,,,,,,,,
1EX81t4g,2013-11-29,0.0,,,,,,,,
1EXRLmrX,2013-12-11,0.0,,,,,,,,
1f2F38oV,2013-11-22,0.0,,,,,,,,
1f3qE4LK,2013-11-22,0.0,,,,,,,,
1f7nGC5H,2013-11-08,0.0,,,,,,,,
1FBHq71p,2013-11-01,0.0,,,,,,,,
1fBrqmNp,2013-12-01,0.0,,,,,,,,
1FdS8Msh,2013-11-23,0.0,,,,,,,,
1fENDV6U,2013-11-07,0.0,,,,,,,,
1fhjpcJE,2013-11-24,0.0,,,,,,,,
1Fk8DwDk,2013-11-22,0.0,,,,,,,,
1FpjNUbj,2013-11-19,0.0,,,,,,,,
1fqmWBmv,2013-11-22,0.0,,,,,,,,
1ftsTOiu,2013-11-17,0.0,,,,,,,,
1FWyH5rH,2013-11-16,35.96,37.0,4.0,2,3,3,233,8.0,Other
1g16jNKH,2013-12-03,0.0,,,,,,,,
1g2jprvP,2013-11-07,0.0,,,,,,,,
1G8TlJDU,2013-11-24,0.0,,,,,,,,
1GGQKxFj,2013-11-22,0.0,,,,,,,,
1ghCyO2j,2013-11-16,0.0,,,,,,,,
1gHS4GML,2013-11-16,11.97,38.0,3.0,2,2,3,232,7.0,Other
1GhvBTcj,2013-11-17,0.0,,,,,,,,
1gHyYWmI,2013-11-24,0.0,,,,,,,,
1giCHrfN,2013-11-17,0.0,,,,,,,,
1gJT4Q8S,2013-11-03,0.0,,,,,,,,
1GOLnCVD,2013-11-08,0.0,,,,,,,,
1GOlst14,2013-11-04,0.0,,,,,,,,
1GOyIwsx,2013-12-04,0.0,,,,,,,,
1gQcUfbo,2013-11-24,0.0,,,,,,,,
1GsWt3mC,2013-12-04,0.0,,,,,,,,
1GtoS7HU,2013-11-15,0.0,,,,,,,,
1gtt4f4W,2013-11-23,3.99,35.0,1.0,2,1,1,211,4.0,Other
1gUBTFNx,2013-12-07,0.0,,,,,,,,
1GwPvJ38,2013-12-04,0.0,,,,,,,,
1GXDFqBN,2013-11-11,0.0,,,,,,,,
1H3mfeNX,2013-11-27,0.0,,,,,,,,
1H3Shf3G,2013-11-04,0.0,,,,,,,,
1H4RE3eH,2013-11-09,0.0,,,,,,,,
1h4Sb84B,2013-11-06,0.0,,,,,,,,
1HdLikR2,2013-12-03,0.0,,,,,,,,
1HFL27yK,2013-11-23,0.0,,,,,,,,
1HHHTjyW,2013-11-18,0.0,,,,,,,,
1hi7C58k,2013-11-29,0.0,,,,,,,,
1HjR4gCv,2013-11-28,0.0,,,,,,,,
1hKsodWL,2013-11-13,0.0,,,,,,,,
1HrtLY6J,2013-12-05,0.0,,,,,,,,
1Hs5Dxsh,2013-11-06,0.0,,,,,,,,
1hSw4hEy,2013-11-03,0.0,,,,,,,,
1huPibmK,2013-11-02,0.0,,,,,,,,
1hY7u4xL,2013-11-14,0.0,,,,,,,,
1hYBstsg,2013-11-23,0.0,,,,,,,,
1HYfNuJd,2013-11-08,0.0,,,,,,,,
1I7eHhpy,2013-12-08,0.0,,,,,,,,
1i7VQIMl,2013-11-22,0.0,,,,,,,,
1i7w6Ysq,2013-11-15,0.0,,,,,,,,
1I8T4MvU,2013-11-16,0.0,,,,,,,,
1iCyNYrb,2013-11-06,0.0,,,,,,,,
1IDyQy5f,2013-12-05,0.0,,,,,,,,
1iFTsxp5,2013-11-11,18.97,37.0,3.0,2,3,3,233,8.0,Other
1iMmcXwG,2013-12-03,0.0,,,,,,,,
1iMqTFiV,2013-11-06,0.0,,,,,,,,
1iNgf3ei,2013-11-15,0.0,,,,,,,,
1IS8q7Mw,2013-12-08,0.0,,,,,,,,
1ItnXHfk,2013-12-11,0.0,,,,,,,,
1iTr5x4O,2013-11-08,10.97,46.0,3.0,1,2,3,132,6.0,Other
1IWI3LJC,2013-11-15,0.0,,,,,,,,
1IYWRRyP,2013-11-17,0.0,,,,,,,,
1J8DW3Ub,2013-11-23,0.0,,,,,,,,
1jcRxsRS,2013-11-27,0.0,,,,,,,,
1JFlM43Q,2013-11-09,0.0,,,,,,,,
1jkyUXff,2013-11-25,160.88000000000002,32.0,12.0,3,4,4,344,11.0,Other
1jLbUClT,2013-11-18,0.0,,,,,,,,
1jp2d5s8,2013-11-23,0.0,,,,,,,,
1jQ78xnF,2013-11-02,0.0,,,,,,,,
1jQ8jG2q,2013-11-25,0.0,,,,,,,,
1jqLjSv3,2013-11-20,0.0,,,,,,,,
1JRckqmU,2013-11-28,0.0,,,,,,,,
1jSIfwk1,2013-11-10,8.99,35.0,1.0,2,2,1,212,5.0,Other
1jTiHqrl,2013-11-23,0.0,,,,,,,,
1JuEFeNM,2013-11-23,0.0,,,,,,,,
1jvwV5Oi,2013-11-24,0.0,,,,,,,,
1k2IOBqi,2013-12-08,0.0,,,,,,,,
1k2lSyiQ,2013-11-13,0.0,,,,,,,,
1k6OnfXq,2013-12-09,0.0,,,,,,,,
1k76tPOk,2013-12-06,0.0,,,,,,,,
1kdWPB6f,2013-11-07,0.0,,,,,,,,
1KhDUIE7,2013-11-20,0.0,,,,,,,,
1kJNjPbj,2013-12-08,0.0,,,,,,,,
1kpQce51,2013-11-20,0.0,,,,,,,,
1kQR5FKu,2013-11-23,0.0,,,,,,,,
1kU3XQeV,2013-11-24,20.939999999999998,28.0,6.0,3,3,4,343,10.0,Loyal Customers
1kvkrk1t,2013-12-03,0.0,,,,,,,,
1kXfOGGW,2013-12-06,0.0,,,,,,,,
1kXSrJTb,2013-11-24,0.0,,,,,,,,
1l6WEJPS,2013-12-08,0.0,,,,,,,,
1lDmDDPC,2013-11-25,0.0,,,,,,,,
1LesjNmu,2013-12-04,0.0,,,,,,,,
1LhYy5H8,2013-12-04,0.0,,,,,,,,
1lIKmceb,2013-11-12,0.0,,,,,,,,
1LIrlSyp,2013-12-01,0.0,,,,,,,,
1LjnbKEG,2013-11-23,0.0,,,,,,,,
1LL4hxhu,2013-11-24,0.0,,,,,,,,
1lMfkcbC,2013-11-22,0.0,,,,,,,,
1LMUhJmN,2013-11-03,0.0,,,,,,,,
1LNL5bLg,2013-11-06,0.0,,,,,,,,
1lp2IsxU,2013-12-02,0.0,,,,,,,,
1lQsfqo1,2013-11-23,0.0,,,,,,,,
1LrWFduR,2013-11-21,0.0,,,,,,,,
1LUBcI5l,2013-11-21,0.0,,,,,,,,
1LUVNCEp,2013-11-06,0.0,,,,,,,,
1LVc6rBN,2013-11-19,0.0,,,,,,,,
1LVgtGy4,2013-11-26,0.0,,,,,,,,
1lWBy4gF,2013-12-07,0.0,,,,,,,,
1LxQqfbe,2013-11-20,0.0,,,,,,,,
1m1PxppR,2013-11-26,0.0,,,,,,,,
1m4f3x5w,2013-11-28,0.0,,,,,,,,
1M7BYWev,2013-11-23,0.0,,,,,,,,
1mbR4jHV,2013-11-03,0.0,,,,,,,,
1mCVbNih,2013-12-07,0.0,,,,,,,,
1MEQjEJb,2013-11-26,16.99,35.0,1.0,2,2,1,212,5.0,Other
1Mf45yhL,2013-12-02,0.0,,,,,,,,
1mGSmvBb,2013-11-02,0.0,,,,,,,,
1mhXn8j2,2013-12-07,0.0,,,,,,,,
1MJPpofk,2013-11-19,0.0,,,,,,,,
1mkUhK5Y,2013-12-07,0.0,,,,,,,,
1mmeruQV,2013-11-06,0.0,,,,,,,,
1mOJDjXl,2013-11-17,0.0,,,,,,,,
1MP88pUX,2013-12-10,0.0,,,,,,,,
1mqyjXp6,2013-11-22,0.0,,,,,,,,
1MTIvffe,2013-11-17,0.0,,,,,,,,
1mvnLmGV,2013-11-23,0.0,,,,,,,,
1MwLBbLX,2013-11-19,0.0,,,,,,,,
1n3NM82f,2013-12-04,0.0,,,,,,,,
1N4O64Hd,2013-11-19,0.0,,,,,,,,
1NEX6rgK,2013-11-15,0.0,,,,,,,,
1nFdqQwp,2013-11-24,0.0,,,,,,,,
1NhuijC1,2013-11-24,0.0,,,,,,,,
1NLMw8lL,2013-11-09,0.0,,,,,,,,
1nM7iU8V,2013-11-01,0.0,,,,,,,,
1NmQMquH,2013-11-17,34.99,22.0,1.0,4,3,1,413,8.0,Recent Customer
1nnKgI37,2013-11-15,0.0,,,,,,,,
1nRDpsyx,2013-12-04,0.0,,,,,,,,
1NrIDFDi,2013-11-02,8.99,55.0,1.0,1,2,1,112,4.0,Other
1nUihFFO,2013-11-17,0.0,,,,,,,,
1NXSIhLb,2013-11-28,0.0,,,,,,,,
1O2Hl5QI,2013-11-04,0.0,,,,,,,,
1O3fEwse,2013-11-04,0.0,,,,,,,,
1O45TIOX,2013-11-17,0.0,,,,,,,,
1OC22ivW,2013-11-11,3.99,31.0,1.0,3,1,1,311,5.0,Other
